Count,Summary,
1,"Violation of the Georgia RICO Act. This count alleges that the defendants participated in a criminal enterprise that engaged in a pattern of racketeering activity, namely, solicitation of violation of oath by public officer, false statements and writings, impersonating a public officer, forgery in the first degree, and filing false documents.",
2,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Secretary of State Brad Raffensperger to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
3,False statements and writings. This count alleges that the defendants knowingly and willfully made false statements or writings in connection with a matter within the jurisdiction of a department or agency of state government or of a political subdivision thereof.,
4,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Governor Brian Kemp to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
5,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Attorney General Christopher Carr to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
6,"Impersonating a public officer. This count alleges that the defendants falsely pretended to be an officer or employee or agent or contractor or subcontractor or consultant or advisor or representative or volunteer or intern or other person acting on behalf or under authority of a department or agency of state government or political subdivision thereof, with intent to mislead another into believing that he is such an officer or employee or agent or contractor or subcontractor or consultant or advisor or representative or volunteer or intern.",
7,Conspiracy to commit impersonating a public officer. This count alleges that the defendants conspired with each other to commit the offense of impersonating a public officer.,
8,"Forgery in the first degree. This count alleges that the defendants knowingly made, altered, possessed, uttered, delivered, published, disseminated, transmitted, transferred, conveyed, sold, offered for sale, purchased, procured, requested, solicited, proposed, agreed to make, agreed to alter, agreed to possess, agreed to utter, agreed to deliver, agreed to publish, agreed to disseminate, agreed to transmit, agreed to transfer,",
9,"Forgery in the first degree. This count alleges that the defendants knowingly made, altered, possessed, uttered, delivered, published, disseminated, transmitted, transferred, conveyed, sold, offered for sale, purchased, procured, requested, solicited, proposed, agreed to make, agreed to alter, agreed to possess, agreed to utter, agreed to deliver, agreed to publish, agreed to disseminate, agreed to transmit, agreed to transfer,",
10,Conspiracy to commit forgery in the first degree. This count alleges that the defendants conspired with each other to commit the offense of forgery in the first degree.,
11,False statements and writings. This count alleges that the defendants knowingly and willfully made false statements or writings in connection with a matter within the jurisdiction of a department or agency of state government or of a political subdivision thereof.,
12,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Lieutenant Governor Geoff Duncan to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
13,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Speaker of the House David Ralston to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
